"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",982.76,"bereinigt"
"2020-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",69.7,"bereinigt"
"2020-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.41,"bereinigt"
"2020-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.91,"bereinigt"
"2020-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",985.55,"bereinigt"
"2020-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.4,"bereinigt"
"2020-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.28,"bereinigt"
"2020-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",983.26,"bereinigt"
"2020-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.48,"bereinigt"
"2020-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.45,"bereinigt"
"2020-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.84,"bereinigt"
"2020-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.16,"bereinigt"
"2020-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.45,"bereinigt"
"2020-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.82,"bereinigt"
