"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2019-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",14.85,"bereinigt"
"2019-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.98,"bereinigt"
"2019-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",980.41,"bereinigt"
"2019-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.56,"bereinigt"
"2019-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",21.2,"bereinigt"
"2019-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.38,"bereinigt"
"2019-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",982.85,"bereinigt"
"2019-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.12,"bereinigt"
"2019-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",22.1,"bereinigt"
"2019-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.08,"bereinigt"
"2019-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.98,"bereinigt"
"2019-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.7,"bereinigt"
"2019-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.7,"bereinigt"
"2019-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",103.81,"bereinigt"
"2019-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.78,"bereinigt"
"2019-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",981.38,"bereinigt"
"2019-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",4.71,"bereinigt"
"2019-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",87.52,"bereinigt"
"2019-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.25,"bereinigt"
"2019-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",983.75,"bereinigt"
"2019-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",4.98,"bereinigt"
"2019-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",105.75,"bereinigt"
"2019-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.12,"bereinigt"
"2019-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.92,"bereinigt"
"2019-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.85,"bereinigt"
"2019-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",36.28,"bereinigt"
"2019-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",1.18,"bereinigt"
"2019-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.61,"bereinigt"
"2019-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",984.97,"bereinigt"
"2019-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.86,"bereinigt"
"2019-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.68,"bereinigt"
"2019-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.03,"bereinigt"
"2019-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",987.41,"bereinigt"
"2019-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.29,"bereinigt"
"2019-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.65,"bereinigt"
"2019-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.13,"bereinigt"
"2019-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",984.41,"bereinigt"
"2019-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.13,"bereinigt"
"2019-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",70.46,"bereinigt"
"2019-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2019-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.65,"bereinigt"
"2019-01-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",983.96,"bereinigt"
"2019-01-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.92,"bereinigt"
"2019-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2019-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.1,"bereinigt"
"2019-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",986.35,"bereinigt"
"2019-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.89,"bereinigt"
"2019-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2019-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.05,"bereinigt"
"2019-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",983.45,"bereinigt"
"2019-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.97,"bereinigt"
"2019-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",64.73,"bereinigt"
"2019-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",419.03,"bereinigt"
"2019-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.14,"bereinigt"
"2019-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",980.98,"bereinigt"
"2019-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.3,"bereinigt"
"2019-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",397.98,"bereinigt"
"2019-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.68,"bereinigt"
"2019-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",983.4,"bereinigt"
"2019-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.27,"bereinigt"
"2019-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",477.88,"bereinigt"
"2019-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.39,"bereinigt"
"2019-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.5,"bereinigt"
"2019-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.67,"bereinigt"
"2019-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",8.81,"bereinigt"
"2019-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",573.34,"bereinigt"
"2019-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.42,"bereinigt"
"2019-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",980.72,"bereinigt"
"2019-01-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.78,"bereinigt"
"2019-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",408.68,"bereinigt"
"2019-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.15,"bereinigt"
"2019-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",983.14,"bereinigt"
"2019-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.54,"bereinigt"
"2019-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",874.52,"bereinigt"
"2019-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.71,"bereinigt"
"2019-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.26,"bereinigt"
"2019-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.11,"bereinigt"
