Datum,Average_Temperature,Max_Temperature,Total_Rain_Duration,Average_Pressure,Average_Global_Radiation,Cloudiness
2022-12-04 00:00:00+01:00,2.4066666666666667,3.15,56.51,962.1633333333333,12.8,0.6624
2022-12-05 00:00:00+01:00,5.066666666666666,6.586666666666666,76.83666666666666,968.3133333333334,19.68,0.6601066666666666
2022-12-06 00:00:00+01:00,3.236666666666667,4.013333333333333,0.0,967.8733333333333,60.15,0.6466166666666666
2022-12-07 00:00:00+01:00,3.2099999999999995,4.32,20.19,966.1166666666667,16.36,0.6612133333333333
2022-12-08 00:00:00+01:00,2.31,4.023333333333333,0.0,959.5066666666667,33.63,0.6554566666666667
2022-12-09 00:00:00+01:00,1.2766666666666666,1.9833333333333332,604.8066666666667,952.8366666666667,12.14,0.66262
2022-12-10 00:00:00+01:00,1.0133333333333334,1.8366666666666667,682.2466666666666,956.5066666666667,5.12,0.66496
2022-12-11 00:00:00+01:00,-2.376666666666667,-0.4766666666666666,0.09000000000000001,959.8333333333334,57.27,0.6475766666666667
2022-12-12 00:00:00+01:00,-3.8266666666666667,-2.6566666666666667,0.0,960.5466666666667,8.46,0.6638466666666667
2022-12-13 00:00:00+01:00,-4.255,-3.21,82.64999999999999,956.8,19.15,0.6602833333333333
2022-12-14 00:00:00+01:00,1.35,4.95,281.67333333333335,951.685,33.29,0.65557
2022-12-15 00:00:00+01:00,2.6266666666666665,3.9800000000000004,183.6966666666667,952.89,9.62,0.66346
2022-12-16 00:00:00+01:00,0.19333333333333336,1.1866666666666668,446.28666666666663,959.5566666666667,5.79,0.6647366666666666
2022-12-17 00:00:00+01:00,-1.6366666666666667,-0.65,0.0,972.6533333333333,8.33,0.66389
2022-12-18 00:00:00+01:00,-0.9400000000000001,0.04666666666666666,0.0,977.9833333333332,22.08,0.6593066666666667
2022-12-19 00:00:00+01:00,2.1466666666666665,4.823333333333333,41.800000000000004,976.06,45.35,0.65155
2022-12-20 00:00:00+01:00,5.1866666666666665,8.726666666666667,0.0,970.73,39.9,0.6533666666666667
2022-12-21 00:00:00+01:00,8.716666666666667,10.226666666666667,339.06333333333333,967.2399999999999,8.1,0.6639666666666667
2022-12-22 00:00:00+01:00,10.543333333333333,12.433333333333332,198.53666666666666,964.27,37.41,0.6541966666666666
2022-12-23 00:00:00+01:00,11.973333333333334,13.373333333333335,640.4433333333333,962.2800000000001,8.48,0.66384
2022-12-24 00:00:00+01:00,9.623333333333333,12.583333333333334,308.95,968.2266666666666,13.8,0.6620666666666667
2022-12-25 00:00:00+01:00,7.903333333333333,9.450000000000001,19.150000000000002,968.4766666666666,28.66,0.6571133333333333
2022-12-26 00:00:00+01:00,9.456666666666667,11.626666666666667,415.44000000000005,971.6966666666667,12.68,0.66244
2022-12-27 00:00:00+01:00,6.666666666666667,8.406666666666666,96.38333333333333,978.2133333333333,32.47,0.6558433333333333
2022-12-28 00:00:00+01:00,6.25,9.476666666666667,0.0,971.64,64.02,0.6453266666666667
2022-12-29 00:00:00+01:00,9.24,11.593333333333334,388.87999999999994,965.7399999999999,30.69,0.6564366666666667
2022-12-30 00:00:00+01:00,7.81,11.083333333333334,452.4766666666667,967.2833333333333,39.66,0.6534466666666666
2022-12-31 00:00:00+01:00,11.626666666666665,13.803333333333333,0.07333333333333333,970.69,48.76,0.6504133333333333
2023-01-01 00:00:00+01:00,12.25,15.24,0.0,972.8000000000001,59.78,0.64674
2023-01-02 00:00:00+01:00,10.030000000000001,14.126666666666667,98.11333333333334,973.0500000000001,35.98,0.6546733333333333
2023-01-03 00:00:00+01:00,8.25,9.026666666666666,476.7033333333333,979.6133333333333,16.6,0.6611333333333334
2023-01-04 00:00:00+01:00,8.466666666666667,11.216666666666667,12.256666666666668,979.0333333333333,22.16,0.65928
2023-01-05 00:00:00+01:00,10.766666666666666,12.15,69.79333333333334,975.79,41.33,0.6528900000000001
2023-01-06 00:00:00+01:00,7.87,9.5,0.0,974.0266666666666,19.15,0.6602833333333333
2023-01-07 00:00:00+01:00,7.513333333333333,8.979999999999999,0.0,968.0433333333334,57.09,0.6476366666666666
2023-01-08 00:00:00+01:00,6.82,7.616666666666667,425.93,958.8366666666667,11.19,0.6629366666666666
2023-01-09 00:00:00+01:00,5.786666666666666,7.7700000000000005,504.0133333333333,958.3433333333332,33.19,0.6556033333333333
2023-01-10 00:00:00+01:00,5.31,6.946666666666666,30.87,972.3033333333333,54.36,0.6485466666666667
2023-01-11 00:00:00+01:00,7.033333333333334,8.463333333333333,252.26666666666665,970.5933333333332,11.73,0.6627566666666667
2023-01-12 00:00:00+01:00,7.896666666666666,9.256666666666666,0.0,971.6700000000001,33.29,0.65557
2023-01-13 00:00:00+01:00,8.12,9.186666666666666,272.67,968.7666666666668,37.94,0.65402
2023-01-14 00:00:00+01:00,7.7,10.56,85.59333333333335,968.1366666666667,41.98,0.6526733333333333
2023-01-15 00:00:00+01:00,6.669999999999999,11.046666666666667,280.54,960.8533333333334,10.46,0.66318
2023-01-16 00:00:00+01:00,3.31,6.623333333333334,55.68333333333334,946.2333333333332,31.55,0.65615
2023-01-17 00:00:00+01:00,2.3633333333333333,3.6833333333333336,123.94666666666667,938.5366666666667,19.48,0.6601733333333333
2023-01-18 00:00:00+01:00,1.6066666666666667,2.5533333333333332,227.16666666666666,946.4233333333333,29.78,0.65674
2023-01-19 00:00:00+01:00,-0.45,1.3233333333333333,0.0,958.8166666666666,75.61,0.6414633333333334
2023-01-20 00:00:00+01:00,-1.8099999999999998,0.5766666666666667,3.7966666666666664,965.8133333333334,67.16,0.6442800000000001
2023-01-21 00:00:00+01:00,-2.353333333333333,-0.6833333333333332,105.06666666666666,971.2866666666667,45.79,0.6514033333333333
2023-01-22 00:00:00+01:00,-0.4833333333333334,0.35333333333333333,19.866666666666667,973.9933333333333,26.53,0.6578233333333333
2023-01-23 00:00:00+01:00,0.21333333333333335,2.0833333333333335,0.25999999999999995,976.11,6.0,0.6646666666666666
2023-01-24 00:00:00+01:00,2.203333333333333,2.9599999999999995,0.0,979.5966666666667,17.21,0.66093
2023-01-25 00:00:00+01:00,1.9000000000000001,2.393333333333333,3.0566666666666666,977.11,8.72,0.66376
2023-01-26 00:00:00+01:00,0.6266666666666666,0.9899999999999999,7.103333333333334,969.15,10.27,0.6632433333333333
