"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.41,"bereinigt"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",134.32,"bereinigt"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",956.16,"bereinigt"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",21.77,"bereinigt"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.11,"bereinigt"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.91,"bereinigt"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",106.17,"bereinigt"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",958.83,"bereinigt"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.43,"bereinigt"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.26,"bereinigt"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",122.89,"bereinigt"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",956.51,"bereinigt"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.85,"bereinigt"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.14,"bereinigt"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.8,"bereinigt"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",5.89,"bereinigt"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.52,"bereinigt"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.37,"bereinigt"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.47,"bereinigt"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.76,"bereinigt"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.03,"bereinigt"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.02,"bereinigt"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",958.11,"bereinigt"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.44,"bereinigt"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.23,"bereinigt"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",958.56,"bereinigt"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.53,"bereinigt"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.06,"bereinigt"
"2021-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.5,"bereinigt"
"2021-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2021-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",961.3,"bereinigt"
"2021-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.25,"bereinigt"
"2021-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.02,"bereinigt"
"2021-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2021-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",958.87,"bereinigt"
