"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",12.34,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.92,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",59.78,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",14.91,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",12.18,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.46,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",15.43,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",12.23,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.02,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",15.38,"bereinigt"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.41,"bereinigt"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",116.08,"bereinigt"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.13,"bereinigt"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",35.98,"bereinigt"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",13.96,"bereinigt"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.05,"bereinigt"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",81.65,"bereinigt"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.7,"bereinigt"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.86,"bereinigt"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",9.63,"bereinigt"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",96.61,"bereinigt"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.32,"bereinigt"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",13.56,"bereinigt"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.65,"bereinigt"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",607.52,"bereinigt"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.58,"bereinigt"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.6,"bereinigt"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.46,"bereinigt"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.09,"bereinigt"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",432.02,"bereinigt"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.35,"bereinigt"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.94,"bereinigt"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.01,"bereinigt"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",390.57,"bereinigt"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.91,"bereinigt"
