"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.77,"bereinigt"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",976.43,"bereinigt"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",66.36,"bereinigt"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.31,"bereinigt"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.97,"bereinigt"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",979.19,"bereinigt"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.1,"bereinigt"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.91,"bereinigt"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",976.76,"bereinigt"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.15,"bereinigt"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.51,"bereinigt"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.89,"bereinigt"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",44.48,"bereinigt"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.72,"bereinigt"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.53,"bereinigt"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.15,"bereinigt"
