Date,Moon Phase (%)
2019-01-01,23.615800857543945
2019-01-02,15.465994834899902
2019-01-03,8.888046264648438
2019-01-04,4.060190200805664
2019-01-05,1.0892150402069092
2019-01-06,0.012886077165603638
2019-01-07,0.8044912219047546
2019-01-08,3.380976915359497
2019-01-09,7.61428689956665
2019-01-10,13.343828201293945
2019-01-11,20.387083053588867
2019-01-12,28.545379638671875
2019-01-13,37.60249710083008
2019-01-14,47.31493377685547
2019-01-15,57.394222259521484
2019-01-16,67.48407745361328
2019-01-17,77.13920593261719
2019-01-18,85.81790161132812
2019-01-19,92.90502166748047
2019-01-20,97.7797622680664
2019-01-21,99.92676544189453
2019-01-22,99.06058502197266
2019-01-23,95.21068572998047
2019-01-24,88.72268676757812
2019-01-25,80.17413330078125
2019-01-26,70.24781799316406
2019-01-27,59.616641998291016
2019-01-28,48.872310638427734
2019-01-29,38.49994659423828
2019-01-30,28.88351821899414
2019-01-31,20.324323654174805
2019-02-01,13.060020446777344
2019-02-02,7.2779316902160645
2019-02-03,3.121314525604248
2019-02-04,0.690138041973114
2019-02-05,0.03915391117334366
2019-02-06,1.1761358976364136
2019-02-07,4.062262535095215
2019-02-08,8.615094184875488
2019-02-09,14.71298885345459
2019-02-10,22.198562622070312
2019-02-11,30.878246307373047
2019-02-12,40.515357971191406
2019-02-13,50.81550979614258
2019-02-14,61.40598678588867
2019-02-15,71.81525421142578
2019-02-16,81.46527862548828
2019-02-17,89.69448852539062
2019-02-18,95.82750701904297
2019-02-19,99.29060363769531
2019-02-20,99.7418441772461
2019-02-21,97.16004943847656
2019-02-22,91.8468017578125
2019-02-23,84.3407211303711
2019-02-24,75.28900909423828
2019-02-25,65.33169555664062
2019-02-26,55.03074264526367
2019-02-27,44.845848083496094
2019-02-28,35.14179229736328
2019-03-01,26.209781646728516
2019-03-02,18.290119171142578
2019-03-03,11.589325904846191
2019-03-04,6.289299011230469
2019-03-05,2.5486323833465576
2019-03-06,0.49784448742866516
2019-03-07,0.2311440110206604
2019-03-08,1.7975788116455078
2019-03-09,5.193889617919922
2019-03-10,10.3601713180542
2019-03-11,17.177757263183594
2019-03-12,25.467208862304688
2019-03-13,34.98367691040039
2019-03-14,45.40769577026367
2019-03-15,56.33205795288086
2019-03-16,67.25010681152344
2019-03-17,77.55687713623047
2019-03-18,86.57835388183594
2019-03-19,93.64080810546875
2019-03-20,98.17615509033203
2019-03-21,99.8343505859375
2019-03-22,98.55685424804688
2019-03-23,94.57592010498047
2019-03-24,88.34159088134766
2019-03-25,80.41278839111328
2019-03-26,71.35710144042969
2019-03-27,61.68614959716797
2019-03-28,51.83018493652344
2019-03-29,42.14122009277344
2019-03-30,32.91092300415039
2019-03-31,24.39220428466797
2019-04-01,16.817636489868164
2019-04-02,10.411101341247559
2019-04-03,5.391005992889404
2019-04-04,1.9649341106414795
2019-04-05,0.316893070936203
2019-04-06,0.5896453857421875
2019-04-07,2.8656280040740967
2019-04-08,7.150201797485352
2019-04-09,13.359907150268555
2019-04-10,21.316354751586914
2019-04-11,30.744409561157227
2019-04-12,41.27252197265625
2019-04-13,52.43452072143555
2019-04-14,63.67573928833008
2019-04-15,74.37079620361328
2019-04-16,83.86210632324219
2019-04-17,91.52404022216797
2019-04-18,96.84565734863281
2019-04-19,99.51006317138672
2019-04-20,99.44107818603516
2019-04-21,96.79778289794922
2019-04-22,91.9202651977539
2019-04-23,85.25021362304688
2019-04-24,77.25519561767578
2019-04-25,68.37554168701172
2019-04-26,58.999141693115234
2019-04-27,49.45905685424805
2019-04-28,40.04542541503906
2019-04-29,31.02358055114746
2019-04-30,22.652292251586914
2019-05-01,15.19761848449707
2019-05-02,8.939008712768555
2019-05-03,4.165012359619141
2019-05-04,1.157167911529541
2019-05-05,0.16283276677131653
2019-05-06,1.360876202583313
2019-05-07,4.827233791351318
2019-05-08,10.508533477783203
2019-05-09,18.21012306213379
2019-05-10,27.60037612915039
2019-05-11,38.22844314575195
2019-05-12,49.55051803588867
2019-05-13,60.96098709106445
2019-05-14,71.828369140625
2019-05-15,81.5379867553711
2019-05-16,89.5420150756836
2019-05-17,95.41181945800781
2019-05-18,98.88145446777344
2019-05-19,99.86909484863281
2019-05-20,98.4684066772461
2019-05-21,94.91256713867188
2019-05-22,89.52308654785156
2019-05-23,82.65866088867188
2019-05-24,74.67596435546875
2019-05-25,65.90729522705078
2019-05-26,56.65475082397461
2019-05-27,47.196922302246094
2019-05-28,37.80336380004883
2019-05-29,28.752246856689453
2019-05-30,20.346616744995117
2019-05-31,12.9243803024292
2019-06-01,6.856600761413574
2019-06-02,2.52897310256958
2019-06-03,0.3039659559726715
2019-06-04,0.4670201539993286
2019-06-05,3.1681158542633057
2019-06-06,8.375924110412598
2019-06-07,15.860564231872559
2019-06-08,25.211313247680664
2019-06-09,35.882469177246094
2019-06-10,47.2520866394043
2019-06-11,58.67866516113281
2019-06-12,69.54776763916016
2019-06-13,79.30790710449219
2019-06-14,87.4985580444336
2019-06-15,93.77220916748047
2019-06-16,97.90934753417969
2019-06-17,99.82305145263672
2019-06-18,99.55046844482422
2019-06-19,97.23163604736328
2019-06-20,93.08002471923828
2019-06-21,87.35133361816406
2019-06-22,80.31698608398438
2019-06-23,72.2467041015625
2019-06-24,63.401763916015625
2019-06-25,54.038475036621094
2019-06-26,44.420101165771484
2019-06-27,34.834259033203125
2019-06-28,25.6119384765625
2019-06-29,17.142189025878906
2019-06-30,9.874308586120605
2019-07-01,4.297830581665039
2019-07-02,0.8931266069412231
2019-07-03,0.05458531528711319
