,Datum,Average_Temperature,Max_Temperature,Total_Rain_Duration,Average_Pressure,Average_Global_Radiation,Cloudiness,Moon Phase (%),IsVacationAargau,IsVacationZug,IsVacationSchwyz,IsVacationSt_gallen,IsVacationThurgau,IsVacationSchaffhausen,publicHolidayAargau,publicHolidayZug,publicHolidaySchwyz,publicHolidayStGallen,publicHolidayThurgau,publicHolidaySchaffhausen,publicHolidayZurich,Date_Occurrences,Weekday,Aargau_Week_After_Holiday,Aargau_First_Week_of_Holiday,Zug_Week_After_Holiday,Zug_First_Week_of_Holiday,Schwyz_Week_After_Holiday,Schwyz_First_Week_of_Holiday,St_gallen_Week_After_Holiday,St_gallen_First_Week_of_Holiday,Schaffhausen_Week_After_Holiday,Schaffhausen_First_Week_of_Holiday,Thurgau_Week_After_Holiday,Thurgau_First_Week_of_Holiday,Zurich_Week_After_Holiday,Zurich_First_Week_of_Holiday,Average_Temperature_5day_mean,Max_Temperature_5day_mean,Total_Rain_Duration_5day_mean,Average_Pressure_5day_mean,Average_Global_Radiation_5day_mean,Cloudiness_5day_mean
17,2019-01-18,1.4,4.266666666666667,46.4,967.19,59.44,0.6468533333333334,85.81790161132812,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.212,6.55,276.412,965.6406666666668,39.864,0.6533786666666666
18,2019-01-19,-1.0566666666666666,1.593333333333333,0.0,964.4866666666668,78.35,0.6405500000000001,92.90502166748048,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642666666666667,6.069333333333333,92.594,966.1846666666667,50.492,0.649836
19,2019-01-20,-0.6433333333333334,1.9933333333333332,0.0,963.7166666666668,55.26,0.6482466666666666,97.7797622680664,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4646666666666666,5.093333333333333,24.191333333333336,966.2713333333335,60.044,0.646652
20,2019-01-21,0.6966666666666667,2.3800000000000003,0.0,967.7233333333334,84.26,0.63858,99.92676544189452,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,4.3773333333333335,24.191333333333336,964.4673333333336,58.282,0.6472393333333334
21,2019-01-22,-0.1633333333333333,0.31,0.0066666666666666,959.78,18.51,0.6604966666666666,99.06058502197266,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2726666666666666,3.5933333333333337,24.191333333333336,964.888666666667,58.720000000000006,0.6470933333333334
22,2019-01-23,-1.24,0.5533333333333333,0.0,947.9966666666666,64.3,0.6452333333333333,95.21068572998048,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046666666666666815,2.1086666666666667,9.281333333333333,964.5793333333335,59.164,0.6469453333333333
23,2019-01-24,-0.7933333333333333,-0.09,74.12333333333333,957.5266666666666,19.8,0.6600666666666667,88.72268676757812,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48133333333333317,1.366,0.00133333333333332,960.7406666666666,60.136,0.6466213333333334
24,2019-01-25,-0.9466666666666668,1.34,5.01,966.32,79.51,0.6401633333333333,80.17413330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42866666666666653,1.0293333333333334,14.825999999999999,959.3486666666665,48.426,0.6505246666666666
25,2019-01-26,1.6833333333333331,3.61,122.73,964.2033333333334,34.53,0.6551566666666667,70.24781799316406,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Saturday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.4893333333333332,0.8986666666666668,15.828,959.8693333333333,53.275999999999996,0.6489079999999999
26,2019-01-27,4.376666666666666,6.9,284.48,948.04,49.8,0.6500666666666667,59.616641998291016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2919999999999999,1.1446666666666665,40.374,959.1653333333334,43.33,0.6522233333333334
27,2019-01-28,1.8233333333333333,2.99,90.19666666666669,952.81,49.14,0.6502866666666667,48.87231063842773,0,0,0,0,1,1,0,0,0,0,0,0,0,6,Monday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.616,2.4626666666666663,97.26866666666668,956.8173333333334,49.588,0.6501373333333333
28,2019-01-29,1.7133333333333336,3.736666666666667,43.52333333333333,955.7066666666666,100.1,0.6333000000000001,38.49994659423828,0,0,0,0,1,1,0,0,0,0,0,0,0,11,Tuesday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.2286666666666668,2.95,115.30800000000002,957.78,46.556,0.651148
29,2019-01-30,1.7266666666666666,4.706666666666667,1.9933333333333332,948.06,53.47,0.6488433333333333,28.88351821899414,0,0,0,0,1,1,0,0,0,0,0,0,0,10,Wednesday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.73,3.7153333333333336,109.18800000000002,957.4159999999999,62.616,0.6457946666666667
30,2019-01-31,0.5466666666666666,2.9933333333333336,50.10999999999999,947.4433333333332,54.75,0.6484166666666668,20.324323654174805,0,0,0,0,1,1,0,0,0,0,0,0,0,7,Thursday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.264666666666667,4.388666666666667,108.58466666666668,953.7639999999999,57.407999999999994,0.6475306666666667
31,2019-02-01,3.18,4.6000000000000005,162.57000000000002,941.7,19.23,0.6602566666666667,13.060020446777344,0,0,0,0,1,1,0,0,0,0,0,0,0,11,Friday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.0373333333333337,4.265333333333333,94.06066666666666,950.4119999999999,61.452,0.6461826666666667
32,2019-02-02,2.85,3.623333333333333,123.02666666666669,946.8466666666668,30.92,0.6563599999999999,7.277931690216064,0,1,0,0,1,1,0,0,0,0,0,0,0,2,Saturday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.7980000000000005,3.8053333333333335,69.67866666666667,949.1439999999999,55.338,0.6482206666666668
33,2019-02-03,1.72,3.7266666666666666,978.9433333333332,964.44,18.18,0.6606066666666667,3.121314525604248,0,1,0,0,1,1,0,0,0,0,0,0,0,5,Sunday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0033333333333334,3.932000000000001,76.24466666666669,947.9513333333334,51.693999999999996,0.6494353333333334
34,2019-02-04,0.0466666666666666,1.2,76.10333333333334,977.1733333333332,27.22,0.6575933333333334,0.690138041973114,0,1,0,0,0,1,0,0,0,0,0,0,0,13,Monday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.004666666666667,3.9299999999999997,263.32866666666666,949.698,35.31,0.6548966666666667
35,2019-02-05,-0.8166666666666668,-0.0033333333333333,0.0,977.9,24.88,0.6583733333333334,0.0391539111733436,0,1,0,0,0,1,0,0,0,0,0,0,0,9,Tuesday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.6686666666666672,3.228666666666667,278.1506666666666,955.5206666666667,30.060000000000002,0.6566466666666667
36,2019-02-06,-1.5533333333333337,-0.51,0.0,976.07,23.6,0.6587999999999999,1.1761358976364136,0,1,0,0,0,1,0,0,0,0,0,0,0,15,Wednesday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.3960000000000004,2.6293333333333333,268.1286666666666,961.6119999999999,24.086000000000002,0.6586380000000001
37,2019-02-07,1.153333333333333,4.5633333333333335,484.37,969.31,28.47,0.6571766666666666,4.062262535095215,0,1,0,0,0,1,0,0,0,0,0,0,0,6,Thursday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.4493333333333334,1.6073333333333335,235.6146666666666,968.4860000000001,24.96,0.6583466666666666
38,2019-02-08,4.086666666666666,7.576666666666667,0.0,969.1833333333334,106.07,0.63131,8.615094184875488,0,1,0,0,0,1,0,0,0,0,0,0,0,10,Friday,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.11000000000000001,1.7953333333333332,307.8833333333333,972.9786666666666,24.47,0.6585099999999999
39,2019-02-09,7.616666666666667,10.416666666666666,41.36,965.8766666666668,78.48,0.6405066666666667,14.71298885345459,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5833333333333333,2.5653333333333337,112.09466666666667,973.9273333333333,42.048,0.6526506666666666
